"ELEMENT_GLOBAL_ID","PARENT_ID","D_CLASSIFICATION_LEVEL_ID","elementUID","classificationCode","databaseCode","Status","colloquialName","scientificName","formattedScientificName","translatedName","hierarchyLevel","unitSort","USstatus"
1298927,1342940,101,"2.1298927","TT1","B01","Accepted","Tropical Forest","Tropical Forest Biome","Tropical Forest Biome","Tropical Forest Biome","Biome","aTT1","CT"
1298928,1342940,101,"2.1298928","TT2","B02","Accepted","Temperate-Boreal Forest & Woodland","Temperate-Boreal Forest & Woodland Biome","Temperate-Boreal Forest &amp; Woodland Biome","Temperate-Boreal Forest & Woodland Biome","Biome","aTT2","CT"
1298929,1342940,101,"2.1298929","TT3","B03","Accepted","Tropical Savanna & Shrubland","Tropical Savanna & Shrubland Biome","Tropical Savanna &amp; Shrubland Biome","Tropical Savanna & Shrubland Biome","Biome","aTT3","CT"
1298930,1342940,101,"2.1298930","TT4","B04","Accepted","Temperate-Boreal Grassland & Shrubland","Temperate-Boreal Grassland & Shrubland Biome","Temperate-Boreal Grassland &amp; Shrubland Biome","Temperate-Boreal Grassland & Shrubland Biome","Biome","aTT4","CT"
1298931,1342940,101,"2.1298931","TT5","B05","Accepted","Desert & Semi-desert","Desert & Semi-desert Biome","Desert &amp; Semi-desert Biome","Desert & Semi-desert Biome","Biome","aTT5","CT"
1298932,1342940,101,"2.1298932","TT6","B06","Accepted","Polar & Alpine","Polar & Alpine Biome","Polar &amp; Alpine Biome","Polar & Alpine Biome","Biome","aTT6","CT"
1298933,1342940,101,"2.1298933","TT7","B07","Accepted","Intensive Land Use","Intensive Land Use Biome","Intensive Land Use Biome","Intensive Land Use Biome","Biome","aTT7","CT"
1298934,1342941,101,"2.1298934","TP1","B08","Accepted","Palustrine Wetland","Palustrine Wetland Biome","Palustrine Wetland Biome","Palustrine Wetland Biome","Biome","bTP1","CT"
1298935,1342941,101,"2.1298935","TP2","B09","Accepted","Freshwater Coast","Freshwater Coast Biome","Freshwater Coast Biome","Freshwater Coast Biome","Biome","bTP2","CT"
1298936,1342941,101,"2.1298936","TP3","B10","Accepted","Anthropogenic Freshwater Coast","Anthropogenic Freshwater Coast Biome","Anthropogenic Freshwater Coast Biome","Anthropogenic Freshwater Coast Biome","Biome","bTP3","CT"
1298937,1342944,101,"2.1298937","MB1","B11","Accepted","Brackish Tidal Wetland","Brackish Tidal Wetland Biome","Brackish Tidal Wetland Biome","Brackish Tidal Wetland Biome","Biome","eMB1","CT"
1298938,1342945,101,"2.1298938","MS1","B12","Accepted","Marine Shoreline","Marine Shoreline Biome","Marine Shoreline Biome","Marine Shoreline Biome","Biome","fMS1","CT"
1298939,1342945,101,"2.1298939","MS2","B13","Accepted","Supralittoral Marine Coast","Supralittoral Marine Coast Biome","Supralittoral Marine Coast Biome","Supralittoral Marine Coast Biome","Biome","fMS2","CT"
1298940,1342945,101,"2.1298940","MS3","B14","Accepted","Anthropogenic Marine Shoreline","Anthropogenic Marine Shoreline Biome","Anthropogenic Marine Shoreline Biome","Anthropogenic Marine Shoreline Biome","Biome","fMS3","CT"
1298942,1298927,102,"2.1298942","TT1.a","S51","Accepted","Tropical Rainforest","Tropical Rainforest Subbiome","Tropical Rainforest Subbiome","Tropical Rainforest Subbiome","Subbiome","aTT1.a","CT"
1298943,1298927,102,"2.1298943","TT1.b","S52","Accepted","Tropical Dry Forest","Tropical Dry Forest Subbiome","Tropical Dry Forest Subbiome","Tropical Dry Forest Subbiome","Subbiome","aTT1.b","CT"
1298945,1298928,102,"2.1298945","TT2.a","S54","Accepted","Warm Temperate Forest & Woodland","Warm Temperate Forest & Woodland Subbiome","Warm Temperate Forest &amp; Woodland Subbiome","Warm Temperate Forest & Woodland Subbiome","Subbiome","aTT2.a","C"
1333041,1298928,102,"2.1333041","TT2.b","S92","Accepted","Cool Temperate Forest & Woodland","Cool Temperate Forest & Woodland Subbiome","Cool Temperate Forest &amp; Woodland Subbiome","Cool Temperate Forest & Woodland Subbiome","Subbiome","aTT2.b","C"
1298944,1298928,102,"2.1298944","TT2.c","S53","Accepted","Boreal Forest & Woodland","Boreal Forest & Woodland Subbiome","Boreal Forest &amp; Woodland Subbiome","Boreal Forest & Woodland Subbiome","Subbiome","aTT2.c","C"
1298946,1298929,102,"2.1298946","TT3.a","S55","Accepted","Tropical Savanna","Tropical Savanna Subbiome","Tropical Savanna Subbiome","Tropical Savanna Subbiome","Subbiome","aTT3.a","CT"
1298947,1298929,102,"2.1298947","TT3.b","S56","Accepted","Tropical Shrubland","Tropical Shrubland Subbiome","Tropical Shrubland Subbiome","Tropical Shrubland Subbiome","Subbiome","aTT3.b","P"
1298948,1298929,102,"2.1298948","TT3.c","S57","Accepted","Tropical Open Rock","Tropical Open Rock Subbiome","Tropical Open Rock Subbiome","Tropical Open Rock Subbiome","Subbiome","aTT3.c","CT"
