"ELEMENT_GLOBAL_ID","LINKAGE","SUBNATION_ID","stateCode","stateName","stateName2","stateRank","REL_STD_TO_NONSTD_CD","REL_NONSTD_TO_STD_CD","CONFIDENCEDESC","crosswalkNote"
684707,"2 crosswalk",23,"CPC5000000","Bottomland hardwood forest","Bottomland hardwood forest","S4","F",">","",""
690014,"2 crosswalk",24,"CT2A3A0000","Riverside Rock Outcrop Community","Riverside Rock Outcrop Community","S3","E","=","",""
690014,"2 crosswalk",55,"CT1A1A00VT","Riverside Outcrop","Riverside Outcrop","S3","F",">","Somewhat certain",""
690014,"2 crosswalk",41,"CTEROC0F01","Shoreline outcrop","Shoreline outcrop","S3S4","F",">","Certain",""
690014,"2 crosswalk",37,"CP00000028","Circumneutral riverbank outcrop","Circumneutral riverbank outcrop","S1","E","=","",""
690014,"2 crosswalk",26,"CVCU300000","Bluebell - balsam ragwort shoreline outcrop","Bluebell - balsam ragwort shoreline outcrop","S2","F",">","",""
686351,"2 crosswalk",28,"CEMI0053","Poor Fen","Poor Fen","S3","F",">","",""
686351,"2 crosswalk",67,"CEON000324","FEO1-7 Graminoid Open Poor Fen Type","FEO1-7 Graminoid Open Poor Fen Type","S5","B","<","",""
686351,"2 crosswalk",67,"CEON000108","FEO1-5 Beaked Sedge Graminoid Fen Type","FEO1-5 Beaked Sedge Graminoid Fen Type","S4S5","B","<","",""
686351,"2 crosswalk",67,"CEON000107","FEO1-4 Bog Buckbean Graminoid Fen Type","FEO1-4 Bog Buckbean Graminoid Fen Type","S3S4","B","<","",""
686351,"2 crosswalk",67,"CEON200924","W20 Poor fen: Ericaceous Shrub/Wire Sedge/Sphagnum","W20 Poor fen: Ericaceous Shrub/Wire Sedge/Sphagnum","S5","I","><","","(W20) Description may include both the shrub poor fen (but see W18) and the graminoid poor fen."
686351,"2 crosswalk",29,"CDAAA91BOO","<i>Graminoid Poor Fen (Basin) Type</i>","<i>Graminoid Poor Fen (Basin) Type</i>","S3","E","=","",""
686351,"2 crosswalk",57,"CPHER069WI","Poor fen","Poor fen","S3","F",">","",""
687700,"2 crosswalk",30,"CTEZZ18320","Prairie fen","Prairie fen","S1","E","=","",""
683437,"2 crosswalk",26,"CWCU400000","Black spruce woodland","Black spruce woodland","S3","E","=","",""
793063,"2 crosswalk",62,"CEMBLM2","<i>Hesperostipa curtiseta</i> - <i>Nassella viridula</i> - <i>Pascopyrum smithii</i>","<i>Hesperostipa curtiseta</i> - <i>Nassella viridula</i> - <i>Pascopyrum smithii</i>","SNR","U","?","",""
687642,"2 crosswalk",67,"CEON005172","TAT1-2 White Cedar Dry Treed Limestone Talus Type","TAT1-2 White Cedar Dry Treed Limestone Talus Type","S3","E","=","",""
687642,"2 crosswalk",28,"CEMI0033","Limestone Cliff","Limestone Cliff","S2","F",">","",""
687642,"2 crosswalk",55,"CT2C505000","Oak-Maple Limestone Talus Woodland","Oak-Maple Limestone Talus Woodland","S3","F",">","Certain",""
1176993,"2 crosswalk",37,"CP00000101","Montane sloping fen","Montane sloping fen","S1","B","<","",""
1176993,"2 crosswalk",37,"CP00000105","Montane heath woodland","Montane heath woodland","S2","I","><","",""
873824,"2 crosswalk",4,"XXNCTS.F16","Upland Hydric Oak Forest","Upland Hydric Oak Forest","SNR","F",">","",""
933729,"2 crosswalk",69,"CEQC000764","<i>Pinus strobus - Acer saccharum / Corylus cornuta</i>","<i>Pinus strobus - Acer saccharum / Corylus cornuta</i>","SNR","B","<","",""
933729,"2 crosswalk",69,"CEQC000763","<i>Pinus strobus - Quercus rubra / Diervilla lonicera - Pteridium aquilinum</i>","<i>Pinus strobus - Quercus rubra / Diervilla lonicera - Pteridium aquilinum</i>","SNR","B","<","",""
933729,"2 crosswalk",69,"CEQC000762","<i>Pinus strobus - Acer rubrum - Abies balsamea</i>","<i>Pinus strobus - Acer rubrum - Abies balsamea</i>","SNR","B","<","",""
933729,"2 crosswalk",28,"CEMI0011","Dry-mesic Northern Forest","Dry-mesic Northern Forest","S3","E","=","",""
683281,"2 crosswalk",38,"CPW00000NJ","Freshwater tidal marsh complex","Freshwater tidal marsh complex","S3?","I","><","","12/21: Rel to Nonstd is calculated. lower intertidal flat"
683281,"2 crosswalk",34,"CNP9266058","Tidal Mud Flat","Tidal Mud Flat","S3?","E","=","",""
683281,"2 crosswalk",24,"CE2D00000A","Seagrass Community","Seagrass Community","S3","F",">","",""
683281,"2 crosswalk",41,"CESTIT0I00","Freshwater intertidal mudflats","Freshwater intertidal mudflats","S2","F",">","","2/22: Rel to Nonstd is calculated."
856878,"2 crosswalk",48,"CTCXX00050","Maritime forest","Maritime forest","S2","F",">","Not certain",""
689594,"2 crosswalk",12,"CTH00000FL","Pine rockland","Pine rockland","S1","F",">","",""
690000,"2 crosswalk",12,"CTB0000000","Sandhill","Sandhill","S2","U","?","",""
684730,"2 crosswalk",42,"C053.52000","Appalachian oak forest","Appalachian oak forest","S4","F",">","",""
687891,"2 crosswalk",34,"CNP7693663","Wet Piedmont Longleaf Pine Forest","Wet Piedmont Longleaf Pine Forest","S1","E","=","Somewhat certain",""
687891,"2 crosswalk",48,"CPCXX00040","Pine savanna","Pine savanna","S2","F",">","Not certain",""
932249,"2 crosswalk",12,"CTB0000000","Sandhill","Sandhill","S2","U","?","",""
688099,"2 crosswalk",67,"CECSON2045","Open Sandstone Cliff Ecosite","Open Sandstone Cliff Ecosite","S1","E","=","",""
688099,"2 crosswalk",28,"CEMI0061","Sandstone Lakeshore Cliff","Sandstone Lakeshore Cliff","S2","E","=","",""
688099,"2 crosswalk",57,"CTGEO082WI","Dry cliff","Dry cliff","S4","F",">","","Don't appear to be tracking Great Lakes separately"
685966,"2 crosswalk",30,"CTPRT14120","Dry-mesic loess/glacial till prairie","Dry-mesic loess/glacial till prairie","S1","E","=","","3/26: Rel to Nonstd is calculated."
685966,"2 crosswalk",19,"CTPAB00000","Dry-mesic prairie","Dry-mesic prairie","S1","B","<","","(N) & (S)"
685966,"2 crosswalk",20,"CPRAPRADME","Prairie - dry-mesic","Prairie - dry-mesic","S2","F",">","",""
685966,"2 crosswalk",57,"CTHER072WI","Dry-mesic prairie","Dry-mesic prairie","S2","E","=","",""
685966,"2 crosswalk",28,"CEMI0023","Hillside Prairie","Hillside Prairie","S1","E","=","",""
685966,"2 crosswalk",29,"CCEPE13D00","<i>Dry Hill Prairie (Southern) Type</i>","<i>Dry Hill Prairie (Southern) Type</i>","S2","F",">","",""
685966,"2 crosswalk",42,"C031.13000","Little bluestem prairie","Little bluestem prairie","S2","F",">","",""
900068,"2 crosswalk",24,"CE2A100000","Estuarine intertidal: saline/brackish flats","Estuarine intertidal: saline/brackish flats","S3","U","?","",""
686685,"2 crosswalk",12,"CTLO000000","Limestone outcrop","Limestone outcrop","S2","U","?","",""
683528,"2 crosswalk",23,"CTD2000000","Mixed hardwood-loblolly forest","Mixed hardwood-loblolly forest","S3","F",">","",""
817806,"2 crosswalk",30,"CTWRB12810","Dry-mesic bottomland woodland","Dry-mesic bottomland woodland","S3","B","<","","3/26: Rel to Nonstd is calculated."
817806,"2 crosswalk",30,"CTFRS11410","Dry-mesic sandstone forest","Dry-mesic sandstone forest","S3","I","><","","3/26: Rel to Nonstd is calculated."
817806,"2 crosswalk",30,"CTFRI11610","Dry-mesic igneous forest","Dry-mesic igneous forest","S4","I","><","","3/26: Rel to Nonstd is calculated."
817806,"2 crosswalk",30,"CTFRC11310","Dry-mesic chert forest","Dry-mesic chert forest","S4","I","><","","3/26: Rel to Nonstd is calculated."
817806,"2 crosswalk",30,"CTFRB11710","Dry-mesic bottomland forest","Dry-mesic bottomland forest","S4","B","<","","3/26: Rel to Nonstd is calculated."
899237,"2 crosswalk",24,"CT2A1C0000","Calcareous Rocky Summit/Rock Outcrop Community","Calcareous Rocky Summit/Rock Outcrop Community","S2","B","<","",""
899237,"2 crosswalk",24,"CT2A1B0000","Circumneutral Rocky Summit/Rock Outcrop Community","Circumneutral Rocky Summit/Rock Outcrop Community","S2S3","B","<","",""
683533,"2 crosswalk",24,"CT2B1F0000","Pitch Pine - Scrub Oak Community","Pitch Pine - Scrub Oak Community","S2","F",">","",""
683533,"2 crosswalk",37,"CT0000173a","Pitch pine - scrub oak woodland: Merrimack Valley variant","Pitch pine - scrub oak woodland: Merrimack Valley variant","SNR","E","=","",""
683533,"2 crosswalk",41,"CTERBW0J01","Pitch pine-scrub oak barrens","Pitch pine-scrub oak barrens","S1","U","?","",""
683533,"2 crosswalk",9,"CT053CT","<i>Pinus rigida / Quercus ilicifolia</i> community","<i>Pinus rigida / Quercus ilicifolia</i> community","SNR","I","><","","11/21: Rel to Nonstd is calculated."
683533,"2 crosswalk",9,"CT1A2A00CT","Acidic rocky summit/outcrop","Acidic rocky summit/outcrop","S3S4","I","><","","11/21: Rel to Nonstd is calculated."
683533,"2 crosswalk",47,"CERI000324","Pitch Pine / Scrub Oak Barrens","Pitch Pine / Scrub Oak Barrens","SNR","F",">","",""
683533,"2 crosswalk",37,"CT0000173u","Pitch pine - scrub oak woodland","Pitch pine - scrub oak woodland","S1S2","F",">","",""
688464,"2 crosswalk",41,"CPALFM0E00","Perched swamp white oak swamp","Perched swamp white oak swamp","S1S2","E","=","",""
683412,"2 crosswalk",67,"CEON005141","FES1-01 Sweet Gale Shrub Fen Type","FES1-01 Sweet Gale Shrub Fen Type","S5","I","><","",""
683412,"2 crosswalk",67,"CEON005140","FES1-03 Shrubby Cinquefoil Shrub Fen Type","FES1-03 Shrubby Cinquefoil Shrub Fen Type","S4","E","=","",""
683412,"2 crosswalk",41,"CPALOP0H00","Medium fen","Medium fen","S2S3","F",">","",""
683412,"2 crosswalk",67,"CEON200919","W15 Low shrub shore fen: Leatherleaf-Sweet Gale/Graminoid","W15 Low shrub shore fen: Leatherleaf-Sweet Gale/Graminoid","S5","B","<","",""
683412,"2 crosswalk",29,"CDBPA81B00","<i>Leatherleaf - Sweet Gale Shore Fen Type</i>","<i>Leatherleaf - Sweet Gale Shore Fen Type</i>","S5","E","=","",""
684209,"2 crosswalk",48,"CTMPX00030","Granitic dome","Granitic dome","S3","F",">","",""
684209,"2 crosswalk",34,"CNT3054523","Low Elevation Acidic Glade (Biltmore Sedge Subtype)","Low Elevation Acidic Glade (Biltmore Sedge Subtype)","S2","E","=","Certain",""
777940,"2 crosswalk",61,"C1A9CTHGS3","<i>Tsuga heterophylla - Thuja plicata / Gaultheria shallon</i> Very Wet Maritime","<i>Tsuga heterophylla - Thuja plicata / Gaultheria shallon</i> Very Wet Maritime","S3","U","?","",""
685102,"2 crosswalk",12,"CTA000000","Scrub","Scrub","S2","U","?","",""
686977,"2 crosswalk",34,"CNT2054074","High Elevation Rocky Summit (Little Bluestem Basic Subtype)","High Elevation Rocky Summit (Little Bluestem Basic Subtype)","S1","E","=","Somewhat certain",""
1150953,"2 crosswalk",69,"CEQC000812","<i>Picea rubens - Acer rubrum - Abies balsamea / Nemopanthus mucronatus - Sphagnum sp.</i>","<i>Picea rubens - Acer rubrum - Abies balsamea / Nemopanthus mucronatus - Sphagnum sp.</i>","SNR","B","<","",""
1150953,"2 crosswalk",69,"CEQC000810","<i>Picea rubens - Abies balsamea / Alnus rugosa var. americana - Viburnum cassinoides</i>","<i>Picea rubens - Abies balsamea / Alnus rugosa var. americana - Viburnum cassinoides</i>","SNR","B","<","",""
1150953,"2 crosswalk",69,"CEQC000807","<i>Picea rubens - Abies balsamea / Cornus canadensis</i>","<i>Picea rubens - Abies balsamea / Cornus canadensis</i>","SNR","B","<","",""
1150953,"2 crosswalk",69,"CEQC000805","<i>Picea rubens - Abies balsamea / Pleurozium schreberi</i>","<i>Picea rubens - Abies balsamea / Pleurozium schreberi</i>","SNR","B","<","",""
1150953,"2 crosswalk",69,"CEQC000804","<i>Picea rubens - Betula papyrifera (Abies balsamea) / Cornus canadensisn</i>","<i>Picea rubens - Betula papyrifera (Abies balsamea) / Cornus canadensisn</i>","SNR","B","<","",""
1150953,"2 crosswalk",55,"CT2A200000","Montane Spruce-Fir Forest","Montane Spruce-Fir Forest","S3","E","=","Certain","This VT type is cleanly equivalent to alliance A4443, which resolves the VT type/variant complexity at the association level."
689621,"2 crosswalk",48,"CTSCX00020","Xeric sandhill scrub","Xeric sandhill scrub","S3","F",">","",""
1176999,"2 crosswalk",37,"CT0000202b","Northern hardwood - spruce - fir forest: yellow birch variant","Northern hardwood - spruce - fir forest: yellow birch variant","SNR","E","=","",""
1176999,"2 crosswalk",41,"CTERFC0N00","Spruce-northern hardwood forest","Spruce-northern hardwood forest","S3S4","U","?","",""
1176999,"2 crosswalk",37,"CT0000202u","Northern hardwood - spruce - fir forest","Northern hardwood - spruce - fir forest","S4","F",">","",""
1176999,"2 crosswalk",55,"CT2A400000","Montane Yellow Birch-Red Spruce Forest","Montane Yellow Birch-Red Spruce Forest","S3","E","=","Certain",""
686898,"2 crosswalk",28,"CEMI0040","Muskeg","Muskeg","S3","F",">","",""
