"ELEMENT_GLOBAL_ID","obsoleteName","obsoleteNote","obsoleteDate","obsoleteAuthority"
685305,"Artemisia cana / Pascopyrum smithii Wet Shrubland","CNVC AB-SK-MB rangelands & MT regional USNVC reviews",2023-03-27 04:48:42,"Cooper, S. et al; Tremblay, Pyle, Downing, DFL"
687610,"<i>Magnolia virginiana - Persea palustris - Chrysobalanus icaco / Cladium mariscus ssp. jamaicense</i> Woodland","",2019-02-27 12:00:00,"D. Faber-Langendoen"
684284,"Quercus arizonica / Bouteloua curtipendula Scrub Woodland","Southwest regional peer review (NM, AZ, CO, UT, NV)",2023-02-17 02:46:17,"E. Muldavin et al."
837258,"Prosopis glandulosa - Celtis ehrenbergiana - Leucophyllum frutescens Thornscrub Group","The taxon concept of Celtis ehrenbergiana is in dispute, and the preferred species name is Celtis pallida (Hendrickson 2010, exception to USDA PLANTS).",2025-12-31 03:49:15,"D.Faber-Langendoen"
884677,"Caribbean Montane Humid Forest Macrogroup","edits in prep for USNVC v3.0 release",2025-06-26 05:27:51,"D. Faber-Langendoen"
877423,"Central &amp; Southern Appalachian Rocky Outcrop","",2019-01-24 12:00:00,"D. Faber-Langendoen"
686556,"Alnus rubra / Petasites frigidus Riparian Forest","Washington NCCN Wetlands",2021-12-26 12:00:00,"Tynan Ramm-Granberg"
688636,"Cladium mariscus / Algal Periphyton Marsh","Cladium mariscus ssp. jamaicense refers to sawgrass in the Western Hemisphere following USDA Plants 2016, the standard for the USNVC 3.0. The full species name is not used in the Western Hemisphere.",2026-03-18 01:15:08,"K. Palmquist, Regional Editor"
688096,"Cladium mariscus Tidal Salt Marsh","Cladium mariscus ssp. jamaicense refers to sawgrass in the Western Hemisphere following USDA Plants 2016, the standard for the USNVC 3.0. The full species name is not used in the Western Hemisphere.",2026-03-18 01:14:40,"K. Palmquist, Regional Editor"
686520,"Juglans microcarpa / Cladium mariscus Flooded Scrub Woodland","Cladium mariscus ssp. jamaicense refers to sawgrass in the Western Hemisphere following USDA Plants 2016, the standard for the USNVC 3.0. The full species name is not used in the Western Hemisphere.",2026-03-18 01:14:12,"K. Palmquist, Regional Editor"
