"ELEMENT_GLOBAL_ID","obsoleteParentCode","obsoleteDivision","obsoleteParentName","obsoleteNote","obsoleteDate","obsoleteAuthority"
685941,"A3767","TP1.a2.Nf","Pinus contorta - Picea engelmannii Cascadian Swamp Woodland","Washington updates",2022-08-08 11:08:06,"T. Ramm-Granberg & D. Faber-Langendoen"
688446,"A2098","TT2.b1.Na","Quercus muehlenbergii - Fraxinus quadrangulata Ozark-Ouachita Alkaline Forest & Woodland Alliance","Central Midwest regional review",2022-07-24 04:57:30,"Program ecologist & D. Faber-Langendoen"
683972,"A2098","TT2.b1.Na","Quercus muehlenbergii - Fraxinus quadrangulata Ozark-Ouachita Alkaline Forest & Woodland Alliance","KY + TN Southeast USNVC reg'l review follow-up, May 2023",2023-08-25 12:27:26,"C. Elam, KY ecologists, D. Faber-Langendoen"
1233792,"G950","TT2.b1.Na","Interior Low Plateau Oak Forest & Woodland","KY + TN Southeast USNVC reg'l review follow-up, May 2023",2023-08-25 12:26:11,"C. Elam, KY ecologists, D. Faber-Langendoen"
1233794,"G950","TT2.b1.Na","Interior Low Plateau Oak Forest & Woodland","KY + TN Southeast USNVC reg'l review follow-up, May 2023",2023-08-25 12:26:11,"C. Elam, KY ecologists, D. Faber-Langendoen"
1233806,"G949","TT2.b1.Na","Ozark-Ouachita Oak - Pine Forest & Woodland","KY + TN Southeast USNVC reg'l review follow-up, May 2023",2023-08-25 12:26:09,"C. Elam, KY ecologists, D. Faber-Langendoen"
899396,"G949","TT2.b1.Na","Ozark-Ouachita Oak - Pine Forest & Woodland","NVC163 Central Midwest regional review",2022-04-14 02:42:34,"D. Faber-Langendoen, M. Leahy, et al"
1233786,"G949","TT2.b1.Na","Ozark-Ouachita Oak - Pine Forest & Woodland","KY + TN Southeast USNVC reg'l review follow-up, May 2023",2023-08-25 12:26:09,"C. Elam, KY ecologists, D. Faber-Langendoen"
1233790,"G949","TT2.b1.Na","Ozark-Ouachita Oak - Pine Forest & Woodland","KY + TN Southeast USNVC reg'l review follow-up, May 2023",2023-08-25 12:26:09,"C. Elam, KY ecologists, D. Faber-Langendoen"
1233790,"G949","TT2.b1.Na","Ozark-Ouachita Oak - Pine Forest & Woodland","Central Midwest regional review",2022-08-09 04:09:59,"IL, MO, IL programs; D. Faber-Langendoen"
1233790,"G949","TT2.b1.Na","Ozark-Ouachita Oak - Pine Forest & Woodland","Central Midwest regional review",2022-07-24 04:57:31,"Program ecologist & D. Faber-Langendoen"
899394,"G949","TT2.b1.Na","Ozark-Ouachita Oak - Pine Forest & Woodland","NVC163 Central Midwest regional review",2022-04-14 12:00:00,"D. Faber-Langendoen, M. Leahy, et al"
1233788,"G949","TT2.b1.Na","Ozark-Ouachita Oak - Pine Forest & Woodland","Central Midwest regional review",2022-07-24 04:57:33,"Program ecologist & D. Faber-Langendoen"
899414,"G949","TT2.b1.Na","Ozark-Ouachita Oak - Pine Forest & Woodland","KY + TN Southeast USNVC reg'l review follow-up, May 2023",2023-08-25 12:00:00,"C. Elam, KY ecologists, D. Faber-Langendoen"
683810,"A2085","TT2.b1.Na","Quercus alba - Quercus falcata - Quercus stellata Ozark-Ouachita Dry-mesic Forest Alliance","NVC163 Central Midwest regional review",2022-04-13 12:00:00,"D. Faber-Langendoen, M. Leahy, et al"
817806,"A2085","TT2.b1.Na","Quercus alba - Quercus falcata - Quercus stellata Ozark-Ouachita Dry-mesic Forest Alliance","NVC163 Central Midwest regional review",2022-04-14 02:42:39,"D. Faber-Langendoen, M. Leahy, et al"
686212,"A2085","TT2.b1.Na","Quercus alba - Quercus falcata - Quercus stellata Ozark-Ouachita Dry-mesic Forest Alliance","NVC163 Central Midwest regional review",2022-04-14 02:42:43,"D. Faber-Langendoen, M. Leahy, et al"
683835,"A2085","TT2.b1.Na","Quercus alba - Quercus falcata - Quercus stellata Ozark-Ouachita Dry-mesic Forest Alliance","NVC163 Central Midwest regional review",2022-04-14 02:42:45,"D. Faber-Langendoen, M. Leahy, et al"
