"ELEMENT_GLOBAL_ID","PREDECESSOR_ID","predecessorCode","predecessorName","predecessorSciName","predecessorColloquialName","lineageDate","lineageNote","lineageAuthorizedBy"
687083,683761,"CEGL001007","Artemisia tridentata / Pascopyrum smithii Shrub Herbaceous Vegetation","<i>Artemisia tridentata / Pascopyrum smithii</i> Shrub Herbaceous Vegetation","Big Sagebrush / Western Wheatgrass Shrub Grassland",2018-06-01 09:30:46,"CEGL001007 covered by CEGL001017 (CO, ID?, MT, NV, OR?, UT, WA?, WY), CEGL001028 (CO, MT, UT, WY) and CEGL001047 (CO, ID, MT, ND, WY).",""
686628,683761,"CEGL001007","Artemisia tridentata / Pascopyrum smithii Shrub Herbaceous Vegetation","<i>Artemisia tridentata / Pascopyrum smithii</i> Shrub Herbaceous Vegetation","Big Sagebrush / Western Wheatgrass Shrub Grassland",2018-06-01 12:00:00,"CEGL001007 covered by CEGL001017 (CO, ID?, MT, NV, OR?, UT, WA?, WY), CEGL001028 (CO, MT, UT, WY) and CEGL001047 (CO, ID, MT, ND, WY).",""
684272,683761,"CEGL001007","Artemisia tridentata / Pascopyrum smithii Shrub Herbaceous Vegetation","<i>Artemisia tridentata / Pascopyrum smithii</i> Shrub Herbaceous Vegetation","Big Sagebrush / Western Wheatgrass Shrub Grassland",2018-06-01 12:00:00,"CEGL001007 covered by CEGL001017 (CO, ID?, MT, NV, OR?, UT, WA?, WY), CEGL001028 (CO, MT, UT, WY) and CEGL001047 (CO, ID, MT, ND, WY).",""
942444,683259,"CEGL000498","Tsuga heterophylla - Picea sitchensis Forest","<i>Tsuga heterophylla - Picea sitchensis</i> Forest","",2017-01-30 12:00:00,"CEGL000498 split/merged into CEGL002789 (PNWCOAST_069), CEGL002824 (PNWCOAST_057), CEGL002834 (PNWCOAST_252), CEGL003256 (PNWCOAST_080), CEGL003261 (PNWCOAST_082), CEGL003262 (PNWCOAST_084), CEGL003265 (PNWCOAST_083), CEGL003787 (PNWCOAST_075), CEGL005529 (PNWCOAST_073), CEGL005530 (PNWCOAST_077), CEGL007311 (PNWCOAST_081)","Coastal Correlation"
942442,683259,"CEGL000498","Tsuga heterophylla - Picea sitchensis Forest","<i>Tsuga heterophylla - Picea sitchensis</i> Forest","",2017-01-12 12:00:00,"CEGL000498 split/merged into CEGL002789 (PNWCOAST_069), CEGL002824 (PNWCOAST_057), CEGL002834 (PNWCOAST_252), CEGL003256 (PNWCOAST_080), CEGL003261 (PNWCOAST_082), CEGL003262 (PNWCOAST_084), CEGL003265 (PNWCOAST_083), CEGL003787 (PNWCOAST_075), CEGL005529 (PNWCOAST_073), CEGL005530 (PNWCOAST_077), CEGL007311 (PNWCOAST_081)","Coastal Correlation"
684062,683259,"CEGL000498","Tsuga heterophylla - Picea sitchensis Forest","<i>Tsuga heterophylla - Picea sitchensis</i> Forest","",2017-01-30 12:00:00,"CEGL000498 split/merged into CEGL002789 (PNWCOAST_069), CEGL002824 (PNWCOAST_057), CEGL002834 (PNWCOAST_252), CEGL003256 (PNWCOAST_080), CEGL003261 (PNWCOAST_082), CEGL003262 (PNWCOAST_084), CEGL003265 (PNWCOAST_083), CEGL003787 (PNWCOAST_075), CEGL005529 (PNWCOAST_073), CEGL005530 (PNWCOAST_077), CEGL007311 (PNWCOAST_081)","Coastal Correlation"
687279,683259,"CEGL000498","Tsuga heterophylla - Picea sitchensis Forest","<i>Tsuga heterophylla - Picea sitchensis</i> Forest","",2017-01-30 12:00:00,"CEGL000498 split/merged into CEGL002789 (PNWCOAST_069), CEGL002824 (PNWCOAST_057), CEGL002834 (PNWCOAST_252), CEGL003256 (PNWCOAST_080), CEGL003261 (PNWCOAST_082), CEGL003262 (PNWCOAST_084), CEGL003265 (PNWCOAST_083), CEGL003787 (PNWCOAST_075), CEGL005529 (PNWCOAST_073), CEGL005530 (PNWCOAST_077), CEGL007311 (PNWCOAST_081)","Coastal Correlation"
686625,683259,"CEGL000498","Tsuga heterophylla - Picea sitchensis Forest","<i>Tsuga heterophylla - Picea sitchensis</i> Forest","",2017-01-30 12:00:00,"CEGL000498 split/merged into CEGL002789 (PNWCOAST_069), CEGL002824 (PNWCOAST_057), CEGL002834 (PNWCOAST_252), CEGL003256 (PNWCOAST_080), CEGL003261 (PNWCOAST_082), CEGL003262 (PNWCOAST_084), CEGL003265 (PNWCOAST_083), CEGL003787 (PNWCOAST_075), CEGL005529 (PNWCOAST_073), CEGL005530 (PNWCOAST_077), CEGL007311 (PNWCOAST_081)","Coastal Correlation"
688210,683259,"CEGL000498","Tsuga heterophylla - Picea sitchensis Forest","<i>Tsuga heterophylla - Picea sitchensis</i> Forest","",2017-01-30 12:00:00,"CEGL000498 split/merged into CEGL002789 (PNWCOAST_069), CEGL002824 (PNWCOAST_057), CEGL002834 (PNWCOAST_252), CEGL003256 (PNWCOAST_080), CEGL003261 (PNWCOAST_082), CEGL003262 (PNWCOAST_084), CEGL003265 (PNWCOAST_083), CEGL003787 (PNWCOAST_075), CEGL005529 (PNWCOAST_073), CEGL005530 (PNWCOAST_077), CEGL007311 (PNWCOAST_081)","Coastal Correlation"
787976,684665,"CEGL003361","Populus balsamifera ssp. trichocarpa - Alnus rubra / Carex obnupta Riparian Woodland","<i>Populus balsamifera ssp. trichocarpa - Alnus rubra / Carex obnupta</i> Riparian Woodland","",2017-01-31 12:00:00,"","Coastal Correlation"
