"ELEMENT_GLOBAL_ID","REFERENCE_ID"
687447,190253
687447,192439
687447,200458
686548,181873
687574,193966
689653,184460
685023,181797
686103,186433
687325,181797
687325,183144
687325,190605
683070,189375
688931,192649
684651,181873
684651,187771
684651,197745
684271,199933
684271,505313
684860,176138
684860,179532
684860,187771
683583,181852
683320,179001
683320,189375
688202,187240
688202,192649
688202,199714
683996,181873
684995,181873
684995,184460
687716,182147
689652,181852
683833,181943
689651,181797
689651,192649
686223,178432
686223,190946
686223,340416
687543,183930
687543,189366
688021,178045
688021,194484
688021,478087
688021,659477
683312,184201
683312,184460
683312,820428
688360,188612
688360,190602
687824,193568
688999,181797
684139,179532
683891,184201
683891,184460
683891,187315
689317,175855
683473,184460
686097,181852
686097,184460
683448,184460
689915,187315
689915,194665
689915,762780
689915,1009324
684802,194646
690095,181797
690095,181852
690095,194365
686522,181797
686522,342646
687043,473037
688753,646797
684816,722172
688950,185610
687836,181797
687836,197883
688351,722172
687615,181492
687615,182970
684542,189425
688936,181492
686399,179002
686399,180191
686399,182294
686246,182294
686246,463797
689463,181171
689202,181852
689202,184460
689202,192266
684578,176800
685602,182848
685602,184460
685602,194126
685602,235914
685602,478087
685248,188223
688228,181763
688228,190505
688228,194665
688228,671345
688228,1009324
684711,178045
684711,712642
689309,187315
689309,198829
688307,177340
688307,189874
689529,178990
689529,820428
683162,671251
685856,197850
688067,181797
687200,178045
687200,179532
687200,197746
687200,198829
687200,671254
683983,181797
683983,181873
690096,181492
684869,667690
683924,667690
686998,188295
686998,198303
690064,182970
684004,659455
689001,181797
685220,181852
685220,188303
686398,184460
684572,181852
689002,181873
689002,184460
687675,181797
686021,181492
686021,196928
686021,668151
685903,182624
685903,287719
685903,508413
685903,659479
688570,657053
688533,374772
688533,620627
688533,943946
933803,182314
933803,287719
933803,513257
933803,722044
685320,183246
685320,194773
689385,196818
689385,197897
687966,177280
687966,182314
687966,197342
687966,488831
687966,621271
687966,957846
685243,177280
685243,182314
685243,187524
685243,188224
685243,191560
684684,619527
688027,182818
685836,645701
685836,722044
685836,848333
686765,508413
684599,178277
684599,181548
684599,667764
686333,181932
686333,195068
686333,198697
684447,181797
690044,469514
690044,667303
690044,671239
689723,792456
683875,181873
683098,184460
684436,175902
684436,182803
684436,194660
686059,181797
687442,186670
687442,188172
687442,473033
688394,194426
684295,667323
684295,722175
683202,650154
684671,199046
683927,176079
683927,182795
683927,182818
683927,188455
687723,190544
687838,182792
683080,184460
688899,181852
688899,193014
684237,646797
683334,181797
683334,321625
689274,752574
685500,187426
689898,722172
685249,642312
689185,181797
685192,722172
685957,177799
685845,177799
688489,181797
685305,178504
685305,200873
683344,190544
687656,478087
688060,176721
688060,181797
689230,178892
689230,181492
684446,182520
684446,199046
684446,478087
684446,671245
689231,181492
683556,181797
1127136,182445
1127136,182798
1127136,187165
1127136,188149
1127136,191434
1127136,193759
1127136,200000
687013,180385
687013,191434
685696,185116
685696,193790
685696,994680
690008,321625
685017,181797
686696,196363
687292,176175
686437,194736
686437,671262
684891,671254
686697,184460
683729,662455
683729,707494
688888,342646
683199,182326
683199,185530
683199,650542
683199,671262
684431,181797
687131,181797
687131,186666
684413,176395
684413,184460
686427,181797
689130,662455
684500,180787
684500,201835
686042,189860
686042,201517
687241,184460
684990,187864
684990,662455
689792,181797
689792,200273
684652,180543
684272,183636
684272,321625
684272,342646
683071,201226
683718,188440
683718,671234
688131,199213
686179,184460
684221,180445
687461,340416
683820,181797
686099,181797
684803,184460
683836,186071
683836,201539
683836,707494
683756,199465
686628,184460
686628,342646
686628,707494
687033,191328
687033,194736
687033,340416
684011,180848
684011,184460
689361,181797
689361,187315
689361,191252
689361,657121
689361,994680
689952,184460
689952,195571
689952,200990
688556,181797
688556,184460
688556,342646
685893,181797
685893,200055
683771,180445
683771,200873
684798,184460
689200,181797
689200,187315
684010,181873
684010,190002
684010,662455
689247,176969
689247,183636
689247,200273
689247,650541
689247,662455
686527,185660
686527,201564
686527,792456
793478,181797
793478,619898
793478,619909
793478,994680
684178,176024
688022,994680
684552,181797
684552,182731
690032,182970
690032,659458
690032,722175
690032,994680
685647,179357
685647,182970
685647,189246
685647,190119
685647,201226
685647,510185
685647,671247
689979,176024
689979,184460
689979,185116
689979,659444
689979,659447
689979,662455
683136,181797
685646,201354
689409,752574
683854,184460
685860,176043
685947,671254
689085,757835
683608,662455
684682,180929
684682,185640
683700,175488
683700,181797
683700,184460
685861,184460
689959,182486
689959,185776
689959,189278
689959,662455
689959,722175
688512,197058
688512,201345
689958,182326
689958,193674
689958,646797
689958,752574
683135,180311
683135,200873
687215,657112
685576,186666
685576,200873
684058,198274
687371,197636
687371,198274
687371,657112
687299,671227
689009,186053
683794,185532
684352,181160
687105,181492
688870,181797
689334,181797
