"ELEMENT_GLOBAL_ID","SUBNATION_ID","D_CURR_PRESENCE_ABSENCE_ID","D_DIST_CONFIDENCE_ID"
687447,50,1,1
684253,53,1,1
685023,44,1,1
686644,56,1,1
684651,33,1,1
684651,44,1,1
684860,18,1,1
684860,56,1,1
1238795,56,1,1
683312,40,1,1
688360,60,3,5
688360,59,1,1
687824,61,3,5
686950,8,1,1
684139,18,1,1
685996,39,1,1
689317,18,3,5
683448,18,1,1
685655,6,3,5
686522,59,1,1
685430,44,1,1
688352,44,1,1
684542,23,1,1
688936,48,1,1
683229,51,1,1
683349,55,1,1
683162,8,1,1
685856,6,1,1
690096,76,1,1
688835,377,3,5
686038,16,1,1
683924,16,1,1
686998,381,1,1
686998,51,3,5
690064,51,1,1
689859,51,1,1
685681,51,1,1
683222,51,1,1
689001,52,1,1
689002,56,1,1
686021,10,1,1
686021,30,1,1
686021,32,1,1
685903,26,1,1
688570,30,1,1
933803,55,1,1
685320,53,1,1
689385,42,1,1
684266,69,1,1
684266,57,1,1
688642,41,1,1
684684,26,1,1
688027,67,1,1
685836,41,1,1
684599,19,1,1
689723,34,1,1
685164,14,3,5
684436,50,1,1
687442,6,1,1
686361,40,1,1
684158,70,1,1
684295,6,1,1
689010,51,1,1
684237,7,1,1
683334,52,1,1
688141,7,3,2
685249,16,1,1
687985,8,1,1
685305,60,1,1
688888,33,1,1
688888,59,1,1
683199,40,1,1
683339,59,3,5
683340,18,1,1
688330,40,1,1
689792,18,1,1
689792,40,1,1
684652,33,1,1
688131,40,1,1
686099,8,1,1
684803,18,1,1
683756,8,1,1
683756,40,1,1
683756,59,1,1
686689,7,1,1
687032,44,1,1
689864,44,1,1
689952,18,1,1
689114,40,1,1
684798,52,3,5
689200,8,1,1
684010,33,1,1
684010,59,1,1
686956,6,1,1
684178,7,1,1
684552,39,1,1
685371,6,1,1
685371,40,3,5
685647,40,3,5
689979,52,1,1
685646,40,1,1
689409,40,3,5
686118,59,3,5
688512,18,1,1
688811,18,1,1
689958,40,1,1
687215,8,1,1
686023,52,1,1
684058,52,1,1
683794,12,1,1
686200,4,1,1
687056,7,1,1
683117,7,1,1
685786,44,1,1
689218,53,1,1
684635,49,1,1
686013,69,1,1
689778,49,1,1
687870,35,1,1
683095,62,1,1
684476,6,1,1
683342,58,1,1
686085,23,1,1
688142,18,1,1
686655,18,1,1
688393,18,1,1
687986,39,1,1
687986,51,1,1
687987,59,1,1
683967,6,1,1
684197,44,1,1
688798,39,1,1
685260,7,1,1
687532,40,1,1
686499,52,1,1
686768,67,1,1
686730,2,3,5
685539,37,1,1
684318,7,1,1
688417,33,1,1
687265,6,1,1
689860,52,1,1
686822,16,1,1
684412,19,1,1
689321,25,3,5
686180,14,1,1
686180,48,1,1
689589,14,1,1
688154,2,1,1
685978,20,1,1
685489,14,3,5
687059,39,1,1
686030,6,1,1
686030,39,1,1
688399,51,1,1
689960,34,1,1
688113,59,1,1
685904,2,3,5
687989,18,1,1
685920,7,1,1
686778,8,1,1
683123,44,1,1
687069,381,1,1
687969,7,1,1
687961,37,1,1
687362,7,1,1
684040,2,1,1
686397,6,1,1
685875,6,3,5
688466,39,1,1
690100,35,1,1
687276,49,1,1
688467,39,1,1
684488,6,1,1
684927,40,3,2
686382,40,1,1
686259,18,1,1
688653,33,1,1
688752,33,1,1
687017,51,1,1
685089,67,1,1
686269,12,1,1
686832,22,1,1
687591,8,1,1
687591,56,1,1
685458,12,1,1
687878,7,1,1
687878,40,1,1
684282,6,1,1
689642,6,1,1
689849,39,1,1
688942,379,1,1
688942,51,1,1
685798,39,1,1
685394,34,1,1
687595,51,1,1
688248,12,1,1
688248,34,3,5
689974,2,1,1
689974,4,1,1
687311,14,1,1
690075,14,1,1
683966,16,1,1
685486,24,1,1
683672,12,1,1
684754,16,1,1
685676,34,3,5
685676,48,1,1
685676,51,1,1
685783,6,1,1
685783,39,1,1
689533,40,1,1
685938,40,1,1
687835,59,1,1
688915,57,3,5
687009,49,1,1
683276,49,1,1
687709,37,1,1
689037,6,1,1
689037,8,1,1
684832,26,1,1
683584,37,1,1
942438,7,3,5
942438,56,1,1
687648,1,1,1
687644,33,1,1
683979,7,1,1
687334,18,1,1
687234,56,1,1
684942,39,1,1
684320,8,1,1
688328,7,1,1
685740,69,1,1
687455,29,1,1
686798,62,1,1
687680,57,1,1
686561,67,1,1
686707,29,1,1
684173,381,3,5
689124,12,1,1
686193,12,1,1
685606,33,1,1
688195,59,1,1
686896,8,1,1
686896,33,1,1
686896,59,1,1
684881,44,1,1
687132,59,1,1
683796,52,3,5
688213,18,1,1
687713,52,1,1
686505,44,1,1
688683,7,1,1
684660,39,1,1
684660,379,3,5
685038,6,1,1
688926,51,1,1
688747,4,1,1
683060,4,1,1
687661,22,3,5
684270,50,1,1
686619,52,1,1
685736,6,1,1
690047,40,3,5
687812,8,1,1
688112,39,1,1
684526,39,1,1
687831,12,1,1
683509,80,1,1
687221,379,3,5
687221,6,3,5
684310,8,1,1
686574,60,1,1
685042,35,1,1
685620,44,1,1
683625,7,1,1
685902,7,1,1
685622,44,1,1
684940,7,3,5
683069,39,1,1
684442,18,1,1
687771,6,1,1
687771,40,1,1
688670,44,3,5
689687,32,1,1
688937,34,1,1
688406,34,1,1
687891,48,3,5
684626,23,1,1
689842,34,1,1
684047,2,3,5
687165,2,1,1
688578,48,1,1
689367,48,1,1
683754,32,1,1
683169,34,1,1
687267,34,1,1
683119,23,1,1
688760,23,1,1
689676,12,1,1
683982,44,1,1
687016,44,1,1
684505,44,1,1
683235,44,1,1
686349,56,1,1
688092,40,1,1
690033,33,1,1
689369,44,1,1
685518,6,1,1
683264,8,1,1
684736,33,1,1
685332,33,1,1
685034,6,1,1
685034,8,1,1
685034,51,1,1
687498,61,3,5
687498,18,1,1
687498,56,1,1
686391,56,1,1
685909,56,1,1
684187,8,1,1
689011,379,1,1
685481,33,1,1
689354,45,1,1
687760,24,1,1
683533,37,1,1
689294,45,1,1
687796,2,1,1
688976,4,1,1
688976,32,1,1
688976,48,1,1
688976,51,1,1
687982,48,1,1
684629,48,1,1
683939,11,1,1
686929,16,1,1
684420,62,3,5
683829,40,1,1
683658,6,1,1
688405,52,1,1
684325,52,1,1
686952,59,1,1
684703,18,1,1
683327,52,1,1
686740,59,1,1
685686,52,1,1
689964,18,1,1
689964,59,1,1
685933,29,1,1
689306,52,1,1
685181,8,1,1
683840,18,1,1
689493,52,1,1
686139,59,1,1
686139,44,1,1
689568,44,1,1
686317,52,1,1
686318,40,1,1
683417,35,1,1
688537,59,1,1
686163,59,1,1
685612,33,1,1
689782,8,1,1
689782,40,1,1
689613,40,1,1
687598,40,1,1
686354,18,1,1
686354,52,1,1
689004,18,1,1
683750,52,1,1
685236,16,1,1
685704,16,1,1
683574,51,3,5
686864,39,1,1
687596,82,1,1
685915,39,1,1
683730,7,1,1
683730,44,1,1
686310,19,1,1
684734,33,1,1
687612,44,1,1
690080,7,1,1
690080,44,1,1
942452,56,1,1
685730,56,1,1
688569,6,1,1
688569,39,3,2
683759,18,1,1
687071,6,1,1
942445,61,1,1
942445,7,1,1
686041,39,1,1
685103,8,1,1
689038,33,1,1
685913,18,1,1
687866,7,3,5
1238803,52,1,1
683717,44,1,1
688075,39,1,1
685597,6,1,1
688547,379,3,5
688547,6,1,1
688547,51,1,1
685645,7,3,5
685645,44,1,1
686783,33,1,1
686581,8,1,1
686254,80,3,5
683332,14,1,1
683332,48,1,1
683332,53,1,1
686136,52,1,1
685501,18,1,1
688143,18,1,1
685445,30,1,1
685150,42,1,1
687805,41,1,1
686440,50,3,5
689283,50,1,1
689444,19,1,1
685263,23,3,5
689521,14,1,1
683798,42,1,1
685460,4,1,1
688065,51,1,1
684778,7,1,1
686591,51,1,1
686276,80,3,5
689852,19,1,1
683835,51,1,1
684192,82,3,5
683447,43,1,1
683447,51,1,1
685113,52,1,1
689005,6,1,1
687869,6,1,1
687869,8,1,1
689013,56,1,1
683681,32,3,5
683470,39,1,1
686304,51,1,1
684332,57,1,1
687266,70,3,5
689584,59,1,1
689328,2,3,5
689328,22,3,5
687510,43,3,5
686106,32,3,5
685340,45,1,1
685340,53,1,1
689655,43,3,5
685887,12,3,5
685467,67,1,1
685467,19,1,1
689711,51,1,1
687931,19,1,1
687931,20,1,1
687931,28,1,1
687931,29,1,1
685756,63,1,1
685756,69,3,2
685756,41,1,1
933831,26,1,1
685683,41,1,1
683335,48,1,1
687711,4,1,1
687711,43,1,1
686716,38,1,1
683871,50,1,1
683390,4,1,1
683567,34,1,1
683567,48,1,1
685855,4,1,1
683246,22,3,5
683084,43,1,1
686270,4,1,1
687247,22,3,5
683167,9,1,1
689917,51,1,1
686250,39,1,1
685601,48,3,5
687210,30,1,1
683569,42,1,1
687965,19,1,1
689857,12,1,1
689857,14,1,1
688779,39,1,1
684159,32,1,1
684159,50,1,1
684518,8,1,1
689881,43,1,1
685173,20,1,1
684155,20,1,1
687227,30,1,1
685966,28,1,1
685966,29,1,1
685966,42,1,1
688071,19,1,1
689101,42,1,1
689625,51,1,1
685682,7,1,1
685517,7,1,1
687794,377,1,1
683603,60,1,1
683603,33,1,1
683655,18,1,1
687179,29,1,1
683517,55,1,1
687642,67,1,1
687642,55,1,1
685134,56,1,1
688551,29,1,1
684082,63,1,1
684082,66,1,1
684082,24,1,1
684082,26,1,1
683932,25,1,1
689188,57,1,1
686312,34,1,1
687172,34,1,1
685244,34,1,1
684211,56,1,1
683935,56,1,1
688750,18,1,1
686308,44,1,1
687441,7,1,1
687538,7,1,1
687288,18,1,1
