Family,type
Uncertain Ascomycota Family,na
Bacidiaceae,lichen
Alectoriaceae,lichen
Porpidiaceae,lichen
Arthopyreniaceae,lichen
Thelotremataceae,lichen
Mycocaliciaceae,na
Atheliaceae,na
Brigantiaceae,lichen
Ectolechiaceae,lichen
Trichotheliaceae,lichen
Dacampiaceae,na
Crocyniaceae,lichen
Corticiaceae,na
Capnodiaceae,na
Eigleraceae,lichen
Pleomassariaceae,na
Tricholomataceae,na
Solorinellaceae,lichen
Gypsoplaceae,lichen
Micareaceae,lichen
Heppiaceae,lichen
Uncertain Basidiomycota Family,na
Pleosporaceae,na
Mastodiaceae,lichen
Letrouitiaceae,lichen
Lichenotheliaceae,na
Phyllachoraceae,na
Rimulariaceae,lichen
Melaspileaceae,lichen
Melanommataceae,na
Asterothyriaceae,lichen
Clavariaceae,na
Mycoblastaceae,lichen
Mycoporaceae,na
Pyrenotrichaceae,na
Sphinctrinaceae,na
Mycosphaerellaceae,na
