"actaxon","acauth","taxon","auth","genus","kingdom","phylum","class","order","family","type"
"Microseira wollei","(Farlow ex Gomont) G.B.McGregor & Sendall ex Kenins, 2017","Lyngbya wollei","Farlow","Microseira","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Aerosakkonemataceae","Cyanobacteria"
"Microseira wollei","(Farlow ex Gomont) G.B.McGregor & Sendall ex Kenins, 2017","Microseira wollei","(Farlow ex Gomont) G.B.McGregor & Sendall ex Kenins, 2017","Microseira","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Aerosakkonemataceae","Cyanobacteria"
"Capsosira brebissonii","Kütz. ex Bornet & Flahault","Capsosira brebissonii","Kütz. ex Bornet & Flahault","Capsosira","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Capsosiraceae","Cyanobacteria"
"Moorea bouillonii","","Moorea bouillonii","","Moorea","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Coleofasciculaceae","Cyanobacteria"
"Geitleria calcarea","Friedmann, 1955","Geitleria calcarea","Friedmann, 1955","Geitleria","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Geitleriaceae","Cyanobacteria"
"Mitcheldeania nicholsoni","Wethered, 1886","Mitcheldeania nicholsoni","Wethered, 1886","Mitcheldeania","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Girvanellaceae","Cyanobacteria"
"Ottonosia laminata","Twenhofel, 1919","Ottonosia laminata","Twenhofel, 1919","Ottonosia","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Girvanellaceae","Cyanobacteria"
"Stromatocerium richmondense","(Miller, 1882)","Stromatocerium richmondense","(Miller, 1882)","Stromatocerium","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Girvanellaceae","Cyanobacteria"
"Affixifilum granulosum","(Caires, Sant'Anna & Nunes) Lefler, D.E.Berthold & Laughinghouse","Affixifilum granulosum","(Caires, Sant'Anna & Nunes) Lefler, D.E.Berthold & Laughinghouse","Affixifilum","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Leibleinia agardhii","(P.L.Crouan & H.M.Crouan) Anagn. & Komárek","Leibleinia agardhii","(P.L.Crouan & H.M.Crouan) Anagn. & Komárek","Leibleinia","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Leibleinia epiphytica","(Hieron.) Compère","Leibleinia epiphytica","(Hieron.) Compère","Leibleinia","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Leibleinia epiphytica","(Hieron.) Compère","Lyngbya epiphytica","Hieron.","Leibleinia","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Leibleinia willei","(Setchell & N.L.Gardner) P.C.Silva","Leibleinia willei","(Setchell & N.L.Gardner) P.C.Silva","Leibleinia","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Neolyngbya arenicola","T.A.Caires, C.L.Sant'Anna & J.M.C.Nunes","Neolyngbya arenicola","T.A.Caires, C.L.Sant'Anna & J.M.C.Nunes","Neolyngbya","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Symplocastrum coccineum","(Gomont) Anagnostidis, 2001","Symplocastrum coccineum","(Gomont) Anagnostidis, 2001","Symplocastrum","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Symplocastrum friesii","(Gomont) Kirchn.","Schizothrix friesii","Gomont","Symplocastrum","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Symplocastrum friesii","(Gomont) Kirchn.","Symplocastrum friesii","(Gomont) Kirchn.","Symplocastrum","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Symplocastrum muelleri","(Nägeli ex Gomont) Anagn.","Symplocastrum muelleri","(Nägeli ex Gomont) Anagn.","Symplocastrum","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Symplocastrum purpurascens","(Gomont) Anagn.","Schizothrix purpurascens","Gomont ex Gomont","Symplocastrum","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
"Symplocastrum purpurascens","(Gomont) Anagn.","Symplocastrum purpurascens","(Gomont) Anagn.","Symplocastrum","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Cyanobacteria"
