"kingdom","phylum","class","order","family","genus","type","n"
"Bacteria","Cyanobacteria","","","Aphralysiaceae","Archaeolithoporella","Cyanobacteria",1
"Bacteria","Cyanobacteria","","","Wilmottiaceae","Anagnostidinema","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Aerosakkonemataceae","Microseira","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Capsosiraceae","Capsosira","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Coleofasciculaceae","Moorea","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Geitleriaceae","Geitleria","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Girvanellaceae","Mitcheldeania","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Girvanellaceae","Stromatocerium","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Affixifilum","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Leibleinia","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Neolyngbya","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcoleaceae","Symplocastrum","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Aetokthonos","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Anabaina","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Hormothamnion","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Hormothamnium","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Komarekiella","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Rivulariaceae","Amphithrix","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Rivulariaceae","Phyllonema","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Stigonemataceae","Sirosiphon","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Trichocoleusaceae","Dasygloea","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Trichocoleusaceae","Sirocoleum","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Trichocoleusaceae","Trichocoleus","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Merismopediaceae","Aphanocapsa","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Gloeocapsa","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Anabaenopsis","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Aphanizomenon","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Chrysosporum","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cuspidothrix","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cylindrospermopsis","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Dolichospermum","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Hydrocoryne","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Nodularia","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae","Raphidiopsis","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Chlorogloeopsidaceae","Chlorogloeopsis","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Fischerella","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Hapalosiphon","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Mastigocladus","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Mastigocoleus","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Hapalosiphonaceae","Nostochopsis","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Fortiea","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Hassallia","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Microchaetaceae","Microchaete","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Anabaena","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Aulosira","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cylindrospermum","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Nostoc","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Trichormus","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Wollea","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Rivulariaceae","Calothrix","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Rivulariaceae","Dichothrix","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Rivulariaceae","Gardnerula","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Rivulariaceae","Gloeotrichia","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Rivulariaceae","Isactis","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Rivulariaceae","Richelia","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Rivulariaceae","Rivularia","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Rivulariaceae","Sacconema","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Scytonemataceae","Brasilonema","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Scytonemataceae","Iningainema","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Scytonemataceae","Kyrtuthrix","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Scytonemataceae","Petalonema","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Scytonemataceae","Scytonema","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Scytonemataceae","Scytonematopsis","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Stigonemataceae","Stigonema","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Symphyonemataceae","Brachytrichia","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Tolypothrichaceae","Coleodesmium","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Tolypothrichaceae","Tolypothrix","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Coleofasciculaceae","Symploca","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Homoeotrichaceae","Homoeothrix","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Microcoleaceae","Capilliphycus","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Microcoleaceae","Kamptonema","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Microcoleaceae","Limnospira","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Microcoleaceae","Microcoleus","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Microcoleaceae","Tychonema","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Oscillatoriaceae","Blennothrix","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Oscillatoriaceae","Havrella","Cyanobacteria",1
"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Oscillatoriaceae","Limnoraphis","Cyanobacteria",1
