acc,actaxon,acauth,taxon,auth,keep
CAGI70,Calliergon giganteum,(Schimp.) Kindb.,Calliergon subsarmentosum,"Kindb., sensu Rev. Bryol. 36: 42. 1909",0
SASA19,Sarmenthypnum sarmentosum,(Wahlenb.) Tuom. & T. Kop.,Calliergon subsarmentosum,"Kindb., sensu Ottawa Nat. 23: 137. 1909",1
CLBE4,Cladonia bellidiflora,(Ach.) Schaerer,Cladonia hookeri,Tuck.,1
CLGR12,Cladonia graciliformis,Zahlbr.,Cladonia hookeri,sensu J.W. Thomson,0
IOSU,Ionaspis suaveolens,(Fr.) Th. Fr.,Ionaspis suaveolens,(Fr.) Th. Fr.,1
IOSU,Ionaspis suaveolens,(Fr.) Th. Fr.,Ionaspis suaveolens,(Ach. ex Schaerer) Stein,0
ADPI2,Adelolecia pilati,(Hepp) Hertel & Hafellner,Lecidea subauriculata,Lynge,1
LESU19,Lecidella subauriculata,"(de Lesd.) ?, ined.?",Lecidea subauriculata,de Lesd.,0
SPMAN,Sphagnum majus ssp. norvegica,Flatberg,Sphagnum majus ssp. norvegica,Flatberg,0
SPMAN2,Sphagnum majus ssp. norvegicum,Flatberg,Sphagnum majus ssp. norvegica,"Flatberg, orth. var.",1
SPAN8,Sphinctrina anglica,Nyl.,Sphinctrina microcephala,(Sm.) Körb.,0
SPTU2,Sphinctrina tubiformis,A. Massal.,Sphinctrina microcephala,Nyl.,0
