acc,actaxon,acauth,taxon,auth,keep
BRDI12,Bryum dichotomum,Hedw.,Bryum atropurpureum,Bruch & Schimp.,0
POAT6,Pohlia atropurpurea,(Wahlenb.) H. Lindb.,Bryum atropurpureum,Wahlenb.,0
CAAR36,Caloplaca arizonica,H. Magn.,Caloplaca arizonica,H. Magn.,1
CAPE29,Caloplaca pelodella,(Nyl.) Hasse,Caloplaca arizonica,Rud.,0
PLHE60,Platismatia herrei,(Imshaug) W.L. Culb. & C.F. Culb.,Cetraria tuckermanii,Herre,0
PLTU,Platismatia tuckermanii,(Oakes) W.L. Culb. & C.F. Culb.,Cetraria tuckermanii,Oakes,1
CLSU62,Cladonia subsquamosa,Krempelh.,Cladonia subsquamosa,Krempelh.,1
CLSQS,Cladonia squamosa var. subsquamosa,(Nyl. ex Leight.) Vain.,Cladonia subsquamosa,(Nyl. ex Leight.) Crombie,0
IOSU,Ionaspis suaveolens,(Fr.) Th. Fr.,Ionaspis suaveolens,(Fr.) Th. Fr.,1
IOSU,Ionaspis suaveolens,(Fr.) Th. Fr.,Ionaspis suaveolens,(Ach. ex Schaerer) Stein,0
LEIN60,Lecanora intricata,(Ach.) Ach.,Lecanora mutabilis,Sommerf.,0
MEVE6,Megaspora verrucosa,(Ach.) Hafellner & V. Wirth,Lecanora mutabilis,(Ach.) Nyl.,1
ADPI2,Adelolecia pilati,(Hepp) Hertel & Hafellner,Lecidea subauriculata,Lynge,1
LESU19,Lecidella subauriculata,"(de Lesd.) ?, ined.?",Lecidea subauriculata,de Lesd.,0
PHFOA,Philonotis fontana var. americana,(Dism.) Flow.,Philonotis fontana var. seriata,Breidl.,0
PHYE,Philonotis yezoana,Besch. & Cardot,Philonotis fontana var. seriata,(Mitt.) Kindb.,1
RAME60,Ramalina menziesii,Taylor,Ramalina menziesii,Taylor,1
RALE2,Ramalina leptocarpha,Tuck.,Ramalina menziesii,Tuck.,0
SPMAN,Sphagnum majus ssp. norvegica,Flatberg,Sphagnum majus ssp. norvegica,Flatberg,0
SPMAN2,Sphagnum majus ssp. norvegicum,Flatberg,Sphagnum majus ssp. norvegica,"Flatberg, orth. var.",1
SPAN8,Sphinctrina anglica,Nyl.,Sphinctrina microcephala,(Sm.) Körb.,0
SPTU2,Sphinctrina tubiformis,A. Massal.,Sphinctrina microcephala,Nyl.,0
CAGI70,Calliergon giganteum,(Schimp.) Kindb.,Calliergon subsarmentosum,"Kindb., sensu Rev. Bryol. 36: 42. 1909",0
SASA19,Sarmenthypnum sarmentosum,(Wahlenb.) Tuom. & T. Kop.,Calliergon subsarmentosum,"Kindb., sensu Ottawa Nat. 23: 137. 1909",1
