"acgenus","actaxon","acauth","taxon","auth"
"Weissia","Weissia condensa","(Voit) Lindb.","Weissia condensa","(Voit) Lindb."
"Palamocladium","Palamocladium wilkesianum","(Sull.) Müll.Hal.","Palamocladium wilkesianum","(Sull.) Müll.Hal."
"Pseudotrachypus","Pseudotrachypus convolvens","(Mitt.) W.R.Buck","Pseudotrachypus convolvens","(Mitt.) W.R.Buck"
"Cinclidotus","Cinclidotus riparius","(Host ex Brid.) Arn.","Cinclidotus riparius","(Host ex Brid.) Arn."
"Hymenodon","Hymenodon sphaerothecius","Besch.","Hymenodon sphaerothecius","Besch."
"Niphotrichum","Niphotrichum ericoides","(Brid.) Bedn.-Ochyra & Ochyra","Niphotrichum ericoides","(Brid.) Bedn.-Ochyra & Ochyra"
"Sematophyllum","Sematophyllum substrumulosum","(Hampe) E.Britton","Sematophyllum substrumulosum","(Hampe) E.Britton"
"Physcomitrium","Physcomitrium serratum","(Wilson & Hook.) Müll.Hal.","Physcomitrium serratum","(Wilson & Hook.) Müll.Hal."
"Scapania","Scapania cuspiduligera","(Nees) Müll.Frib.","Scapania cuspiduligera","(Nees) Müll.Frib."
"Timmiella","Timmiella flexiseta","(Bruch) Limpr.","Timmiella flexiseta","(Bruch) Limpr."
"Lepidozia","Lepidozia bursifera","S.Hatt. & Grolle","Lepidozia bursifera","S.Hatt. & Grolle"
"Lepyrodon","Lepyrodon hexastichus","(Mont.) Wijk & Margad.","Lepyrodon hexastichus","(Mont.) Wijk & Margad."
"Hyophila","Hyophila perpendiculata","Dixon","Hyophila perpendiculata","Dixon"
"Nardia","Nardia geoscyphus","(De Not.) Lindb.","Nardia geoscyphus","(De Not.) Lindb."
"Chiloscyphus","Chiloscyphus polyanthos var. rivularis","(Schrad.) Lindb. & Arnell","Chiloscyphus polyanthos var. rivularis","(Schrad.) Nees"
"Lyellia","Lyellia aspera","(I.Hagen & C.E.O.Jensen) Frye","Lyellia aspera","(I.Hagen & C.E.O.Jensen) Frye"
"Frullania","Frullania moritziana","Lindenb. & Gottsche","Frullania moritziana","Lindenb. & Gottsche"
"Sandea","Sandea japonica","Steph. ex Yoshin.","Sandea japonica","Steph. ex Yoshin."
"Plagiochila","Plagiochila kurokawae","Inoue","Plagiochila kurokawae","Inoue"
"Porotrichum","Porotrichum subexplanatum","(Broth. & Herzog) Ochyra","Porotrichum subexplanatum","(Broth. & Herzog) Ochyra"
"Syntrichia","Syntrichia caninervis","Mitt.","Tortula caninervis","(Mitt.) Broth."
"Bucklandiella","Bucklandiella affinis","(Schleich. ex F.Weber & D.Mohr) Bedn.-Ochyra & Ochyra","Racomitrium heterostichum var. affine","(Schleich. ex F.Weber & D.Mohr) Lesq."
"Sphagnum","Sphagnum cribrosum","Lindb.","Sphagnum cribrosum","Lindb."
"Meesia","Meesia minor","Brid.","Meesia uliginosa var. alpina","(Funck ex Bruch) Hampe"
"Paraleucobryum","Paraleucobryum longifolium","(Ehrh. ex Hedw.) Loeske","Paraleucobryum longifolium var. subalpinum","(Milde) Casares-Gil"
"Drepanolejeunea","Drepanolejeunea angustifolia","(Mitt.) Grolle","Drepanolejeunea angustifolia","(Mitt.) Grolle"
"Brachytheciastrum","Brachytheciastrum collinum","(Schleich. ex Müll.Hal.) Ignatov & Huttunen","Brachythecium collinum","(Schleich. ex Müll.Hal.) Schimp."
"Homalothecium","Homalothecium lutescens","(Hedw.) H.Rob.","Camptothecium lutescens","(Hedw.) Schimp."
"Aneura","Aneura sharpii","Inoue & N.G.Mill.","Aneura sharpii","Inoue & N.G.Mill."
"Fissidens","Fissidens perobtusus","Dixon","Fissidens perobtusus","Dixon"
"Acroporium","Acroporium perserratum","E.B.Bartram","Acroporium perserratum","E.B.Bartram"
"Lejeunea","Lejeunea diaphana","Spruce","Lejeunea diaphana","Spruce"
"Sematophyllum","Sematophyllum decurvifolium","Mitt.","Sematophyllum decurvifolium","Mitt."
"Meiotrichum","Meiotrichum lyallii","(Mitt.) G.L.Merr.","Polytrichum lyallii","(Mitt.) Kindb."
"Neoorthocaulis","Neoorthocaulis floerkei","(F.Weber & D.Mohr) L.Söderstr., De Roo & Hedd.","Lophozia floerkei","(F.Weber & D.Mohr) Schiffn."
"Acrobolbus","Acrobolbus kunkelii","(Hässel & Solari) Briscoe & J.J.Engel","Acrobolbus kunkelii","(Hässel & Solari) Briscoe & J.J.Engel"
"Camptodontium","Camptodontium cryptodon","(Mont.) Reimers","Camptodontium cryptodon","(Mont.) Reimers"
"Oxyrrhynchium","Oxyrrhynchium speciosum","(Brid.) Warnst.","Eurhynchium speciosum","(Brid.) Jur."
