"soilplot","clust","element_global_id","scientificname"
"Adrian.DSP.ER2","1","689615","Phalaris arundinacea Eastern Ruderal Marsh"
"Adrian.es20170808.01","1","688421","Acer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest"
"Adrian.gs20180813.02","2","688421","Acer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest"
"Adrian.gs20180816.01","3","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Adrian.gs20180816.02","3","685467","Quercus palustris - Quercus bicolor - Acer rubrum Flatwoods Forest"
"Adrian.S12060401","4","687693","Carex stricta - Carex spp. Wet Meadow"
"Aurelius.es20170731.02","2","686869","Cephalanthus occidentalis / Carex spp. Northern Shrub Swamp"
"Aurelius.s20190820.02","2","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Aurelius.s20190820.03","2","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Boots.gs20180830.03","3","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Carlisle.S12060402","4","687693","Carex stricta - Carex spp. Wet Meadow"
"Carlisle.S12061201","5","685380","Phragmites australis ssp. australis Eastern Ruderal Marsh"
"Carlisle.W14090801","1","686190","Cornus sericea - Salix spp. - (Rosa palustris) Shrub Swamp"
"Carlisle.W14090802","1","686869","Cephalanthus occidentalis / Carex spp. Northern Shrub Swamp"
"Edwards.gs20180813.03","2","683201","Acer saccharinum - Ulmus americana / Onoclea sensibilis Floodplain Forest"
"Edwards.Lamberton.Lake.Fen","6","685728","Cladium mariscoides - (Carex lasiocarpa, Hypericum kalmianum, Oligoneuron riddellii, Eleocharis elliptica) Fen"
"Edwards.S12060701","7","689818","Typha spp. Midwest Marsh"
"Henrietta.gs20180912.03","3","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Henrietta.gs20180912.04","3","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Houghton.2016MI037001","7","689818","Typha spp. Midwest Marsh"
"Houghton.2016MI037002","7","686421","Schoenoplectus maritimus - Atriplex patula - Eleocharis parvula Saline Marsh"
"Houghton.DSP.ER1","7","793415","Leersia oryzoides - Sagittaria latifolia Wet Meadow"
"Houghton.DSP.ER3","1","687693","Carex stricta - Carex spp. Wet Meadow"
"Houghton.DSP.RF1","8","686788","Pinus strobus - (Acer rubrum) / Osmunda spp. Swamp Forest"
"Houghton.DSP.RF2","8","689089","Larix laricina - Acer rubrum / (Rhamnus alnifolia, Vaccinium corymbosum) Swamp Forest"
"Houghton.DSP.RF3","8","688421","Acer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest"
"Houghton.DSP.RR2","1","689615","Phalaris arundinacea Eastern Ruderal Marsh"
"Houghton.DSP.RR3","7","687693","Carex stricta - Carex spp. Wet Meadow"
"Houghton.Page.Creek.Fen","4","687693","Carex stricta - Carex spp. Wet Meadow"
"Houghton.S12053101","4","687693","Carex stricta - Carex spp. Wet Meadow"
"Houghton.S12062501","5","689103","Typha spp. - Schoenoplectus tabernaemontani - Mixed Herbs Southern Great Lakes Shore Marsh"
"Houghton.S12062502","1","689615","Phalaris arundinacea Eastern Ruderal Marsh"
"Houghton.S12062901","1","892928","Fraxinus nigra - Acer saccharinum Upper Great Lakes Floodplain Forest"
"Napoleon.S12060501","8","689089","Larix laricina - Acer rubrum / (Rhamnus alnifolia, Vaccinium corymbosum) Swamp Forest"
"Napoleon.S12060502","8","689089","Larix laricina - Acer rubrum / (Rhamnus alnifolia, Vaccinium corymbosum) Swamp Forest"
"Napoleon.S12060503","2","686869","Cephalanthus occidentalis / Carex spp. Northern Shrub Swamp"
"Napoleon.S12071304","2","686869","Cephalanthus occidentalis / Carex spp. Northern Shrub Swamp"
"Palms.2016MI045005","7","686101","Carex lacustris Wet Meadow"
"Palms.2016MI067010","2","683201","Acer saccharinum - Ulmus americana / Onoclea sensibilis Floodplain Forest"
"Palms.Barry.County...Houghton.swamp","8","688675","Acer rubrum - Fraxinus (pennsylvanica, americana) / Lindera benzoin / Symplocarpus foetidus Swamp Forest"
"Palms.es20170731.03","2","683201","Acer saccharinum - Ulmus americana / Onoclea sensibilis Floodplain Forest"
"Palms.es20170823.03","2","686869","Cephalanthus occidentalis / Carex spp. Northern Shrub Swamp"
"Palms.gs20180816.03","3","685467","Quercus palustris - Quercus bicolor - Acer rubrum Flatwoods Forest"
"Palms.gs20180912.06","1","793415","Leersia oryzoides - Sagittaria latifolia Wet Meadow"
"Palms.gs20180919.04","1","686101","Carex lacustris Wet Meadow"
"Palms.gs20180919.05","3","688421","Acer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest"
"Rifle.DSP.RR1","1","687693","Carex stricta - Carex spp. Wet Meadow"
"Thomas.s20190701.01","1","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"Thomas.s20190701.02","3","683742","Quercus rubra - Quercus alba - (Quercus velutina, Acer rubrum) / Viburnum acerifolium Forest"
"Thomas.s20190905.04","1","689615","Phalaris arundinacea Eastern Ruderal Marsh"
"Toto.s20190820.04","1","683201","Acer saccharinum - Ulmus americana / Onoclea sensibilis Floodplain Forest"
"Wallkill.2016MI067008","2","686869","Cephalanthus occidentalis / Carex spp. Northern Shrub Swamp"
