"taxon","ELEMENT_GLOBAL_ID","indicator"
"Asplenium",878628,1
"Asplenium",878639,1
"Asplenium",686615,1
"Asplenium",685695,1
"Asplenium",683695,1
"Asplenium",685488,1
"Asplenium",684075,1
"Asplenium",683486,1
"Asplenium",683657,1
"Asplenium",688984,1
"Asplenium",686789,1
"Asplenium",686196,1
"Athyrium",1270111,1
"Athyrium",860806,1
"Athyrium",1041597,1
"Athyrium",899660,1
"Athyrium",899997,1
"Athyrium",1044244,1
"Athyrium",1044247,1
"Athyrium",1044250,1
"Athyrium",887524,1
"Athyrium",687981,1
"Athyrium",689724,1
"Athyrium",686859,1
"Athyrium",942472,1
"Athyrium",979436,1
"Athyrium",683245,1
"Athyrium",689626,1
"Athyrium",683943,1
"Athyrium",686105,1
"Athyrium",728743,1
"Athyrium",684149,1
"Athyrium",684693,1
"Athyrium",687553,1
"Athyrium",686961,1
"Athyrium",683293,1
"Athyrium",1252928,1
"Athyrium",684932,1
"Athyrium",979484,1
"Athyrium",683174,1
"Athyrium",685219,1
"Athyrium",683391,1
"Athyrium",684366,1
"Athyrium",683215,1
"Blechnum",899668,1
"Blechnum",979448,1
"Blechnum",942459,1
"Blechnum",942458,1
"Blechnum",979481,1
"Blechnum",942460,1
"Blechnum",942473,1
"Blechnum",777931,1
"Blechnum",787973,1
"Blechnum",685765,1
"Blechnum",685672,1
"Sadleria",1268537,1
"Sadleria",687632,1
"Sadleria",887512,1
"Woodwardia",1277507,1
"Woodwardia",732800,1
"Woodwardia",686969,1
"Woodwardia",755395,1
"Woodwardia",688741,1
"Woodwardia",688264,1
"Woodwardia",856875,1
"Woodwardia",687297,1
"Woodwardia",689553,1
"Woodwardia",683768,1
"Woodwardia",689808,1
"Woodwardia",685911,1
"Woodwardia",868705,1
"Woodwardia",684165,1
"Woodwardia",685814,1
"Woodwardia",690058,1
"Woodwardia",686916,1
"Woodwardia",688003,1
"Woodwardia",952647,1
"Woodwardia",684726,1
"Woodwardia",688511,1
"Woodwardia",685694,1
"Woodwardia",688638,1
"Cibotium",1268563,1
"Cibotium",1268535,1
"Cibotium",686092,1
"Cibotium",868481,1
