"taxon","ELEMENT_GLOBAL_ID","indicator"
"Pallavicinia lyellii\W|Pallavicinia lyellii$",900047,1
"Pallavicinia lyellii\W|Pallavicinia lyellii$",684249,1
"Hygroamblystegium tenax\W|Hygroamblystegium tenax$",1349448,1
"Leucobryum glaucum\W|Leucobryum glaucum$",684217,1
"Sphagnum pulchrum\W|Sphagnum pulchrum$",689070,1
"Sphagnum pulchrum\W|Sphagnum pulchrum$",736389,1
"Pallavicinia\W|Pallavicinia$",900047,1
"Pallavicinia\W|Pallavicinia$",684249,1
"Sphagnum capillifolium\W|Sphagnum capillifolium$",1225173,1
"Sphagnum cuspidatum\W|Sphagnum cuspidatum$",684312,1
"Sphagnum cuspidatum\W|Sphagnum cuspidatum$",688244,1
"Sphagnum cuspidatum\W|Sphagnum cuspidatum$",688003,1
"Tortella tortuosa\W|Tortella tortuosa$",687152,1
"Rubus\W|Rubus$",1302634,1
"Rubus\W|Rubus$",860743,1
"Rubus\W|Rubus$",860793,1
"Rubus\W|Rubus$",899501,1
"Rubus\W|Rubus$",899666,1
"Rubus\W|Rubus$",899781,1
"Rubus\W|Rubus$",899043,1
"Rubus\W|Rubus$",899446,1
"Rubus\W|Rubus$",899990,1
"Rubus\W|Rubus$",899792,1
"Rubus\W|Rubus$",941915,1
"Rubus\W|Rubus$",926708,1
"Rubus\W|Rubus$",899211,1
"Rubus\W|Rubus$",887533,1
"Rubus\W|Rubus$",1277644,1
"Rubus\W|Rubus$",684967,1
"Rubus\W|Rubus$",942422,1
"Rubus\W|Rubus$",942429,1
"Rubus\W|Rubus$",942462,1
"Rubus\W|Rubus$",979465,1
"Rubus\W|Rubus$",979439,1
"Rubus\W|Rubus$",685657,1
"Rubus\W|Rubus$",688045,1
"Rubus\W|Rubus$",1222811,1
"Rubus\W|Rubus$",685789,1
"Rubus\W|Rubus$",689236,1
"Rubus\W|Rubus$",979410,1
"Rubus\W|Rubus$",942433,1
"Rubus\W|Rubus$",942477,1
"Rubus\W|Rubus$",689915,1
"Rubus\W|Rubus$",685612,1
"Rubus\W|Rubus$",688627,1
"Rubus\W|Rubus$",689197,1
"Rubus\W|Rubus$",688778,1
"Rubus\W|Rubus$",689559,1
"Rubus\W|Rubus$",685241,1
"Rubus\W|Rubus$",686105,1
"Rubus\W|Rubus$",689424,1
"Rubus\W|Rubus$",685594,1
"Rubus\W|Rubus$",685234,1
"Rubus\W|Rubus$",687301,1
"Rubus\W|Rubus$",684125,1
"Rubus\W|Rubus$",684733,1
"Rubus\W|Rubus$",686458,1
"Rubus\W|Rubus$",1277638,1
"Rubus\W|Rubus$",799314,1
"Rubus\W|Rubus$",1277576,1
"Rubus\W|Rubus$",979445,1
"Rubus\W|Rubus$",684456,1
"Rubus\W|Rubus$",683703,1
"Rubus\W|Rubus$",688690,1
"Rubus\W|Rubus$",687337,1
"Rubus\W|Rubus$",689746,1
"Rubus\W|Rubus$",690057,1
"Rubus\W|Rubus$",684971,1
"Rubus\W|Rubus$",684452,1
"Rubus\W|Rubus$",684232,1
"Rubus\W|Rubus$",688874,1
"Rubus\W|Rubus$",686922,1
"Rubus\W|Rubus$",687137,1
"Rubus\W|Rubus$",688210,1
"Rubus\W|Rubus$",684335,1
"Rubus\W|Rubus$",684376,1
"Rubus\W|Rubus$",688775,1
"Rubus\W|Rubus$",793432,1
"Rubus\W|Rubus$",689744,1
"Rubus\W|Rubus$",683651,1
"Rubus\W|Rubus$",686873,1
"Rubus\W|Rubus$",1277620,1
"Rubus\W|Rubus$",684659,1
"Rubus\W|Rubus$",689442,1
"Rubus\W|Rubus$",688107,1
"Rubus\W|Rubus$",1277533,1
"Rubus\W|Rubus$",1277559,1
"Thuidium delicatulum\W|Thuidium delicatulum$",806705,1
"Polytrichum commune\W|Polytrichum commune$",686420,1
"Hygroamblystegium\W|Hygroamblystegium$",1349448,1
"Philonotis fontana\W|Philonotis fontana$",1225193,1
"Philonotis fontana\W|Philonotis fontana$",1252934,1
"Sphagnum warnstorfii\W|Sphagnum warnstorfii$",684727,1
"Bazzania trilobata\W|Bazzania trilobata$",685028,1
"Bazzania trilobata\W|Bazzania trilobata$",800149,1
"Niphotrichum canescens\W|Niphotrichum canescens$",1222841,1
"Niphotrichum canescens\W|Niphotrichum canescens$",1222803,1
"Niphotrichum canescens\W|Niphotrichum canescens$",1222787,1
"Niphotrichum canescens\W|Niphotrichum canescens$",1222773,1
"Hylocomium splendens\W|Hylocomium splendens$",684253,1
"Hylocomium splendens\W|Hylocomium splendens$",683834,1
"Hylocomium splendens\W|Hylocomium splendens$",787600,1
