"taxon","ELEMENT_GLOBAL_ID","indicator"
"Asplenium heterochroum",685695,1
"Asplenium heteroresiliens",683695,1
"Asplenium montanum",878628,1
"Asplenium montanum",684075,1
"Asplenium montanum",683486,1
"Asplenium montanum",683657,1
"Asplenium rhizophyllum",686615,1
"Asplenium rhizophyllum",686789,1
"Asplenium ruta-muraria",878639,1
"Asplenium ruta-muraria",688984,1
"Asplenium trichomanes",686196,1
"Athyrium americanum",728743,1
"Athyrium americanum",684149,1
"Athyrium microphyllum",887524,1
"Sadleria cyatheoides",1268537,1
"Sadleria cyatheoides",687632,1
"Sadleria cyatheoides",887512,1
"Woodwardia fimbriata",1277507,1
"Cibotium glaucum",868483,1
"Cystopteris bulbifera",878639,1
"Cystopteris bulbifera",797769,1
"Cystopteris bulbifera",686789,1
"Cystopteris bulbifera",684788,1
"Cystopteris bulbifera",686487,1
"Cystopteris bulbifera",688631,1
"Gymnocarpium dryopteris",979451,1
"Gymnocarpium dryopteris",686734,1
"Gymnocarpium dryopteris",687287,1
"Gymnocarpium dryopteris",684069,1
"Gymnocarpium dryopteris",687029,1
"Pteridium aquilinum",899156,1
"Pteridium aquilinum",900001,1
"Pteridium aquilinum",1268539,1
"Pteridium aquilinum",685027,1
"Pteridium aquilinum",688845,1
"Pteridium aquilinum",683149,1
"Pteridium aquilinum",831153,1
"Pteridium aquilinum",1277507,1
"Pteridium aquilinum",686633,1
"Pteridium aquilinum",686163,1
"Pteridium aquilinum",687046,1
"Pteridium aquilinum",683176,1
"Pteridium aquilinum",769597,1
"Pteridium aquilinum",1277686,1
"Pteridium aquilinum",800158,1
"Pteridium aquilinum",685304,1
"Pteridium aquilinum var. decompositum",1268539,1
"Pteridium aquilinum var. pseudocaudatum",688845,1
"Dryopteris arguta",687341,1
"Dryopteris campyloptera",684253,1
"Dryopteris campyloptera",683834,1
"Dryopteris campyloptera",1176999,1
"Dryopteris campyloptera",687647,1
"Dryopteris campyloptera",687828,1
"Dryopteris expansa",684955,1
"Dryopteris expansa",685454,1
"Dryopteris expansa",684376,1
"Dryopteris intermedia",689569,1
"Dryopteris intermedia",684133,1
"Dryopteris intermedia",687715,1
"Dryopteris intermedia",1159195,1
"Dryopteris intermedia",933911,1
"Dryopteris intermedia",933897,1
"Dryopteris intermedia",689733,1
"Dryopteris marginalis",684667,1
